Sample ID,X,Y
TCGA-06-0171-01,0.632087166,12.131603
TCGA-06-0173-01,-3.458160603,7.348998735
TCGA-06-0174-01,-2.851528639,7.78481718
TCGA-06-0175-01,-5.284541106,12.39932286
TCGA-06-0177-01,7.122161716,5.80029239
TCGA-06-0179-01,-2.559449704,13.71115858
TCGA-06-0182-01,-3.685480171,13.91911365
TCGA-06-0187-01,-5.05628774,2.498386476
TCGA-06-0189-01,3.972140033,11.96293691
TCGA-06-0190-01,-5.249566319,5.802849009
TCGA-06-0194-01,-7.530922915,9.244211177
TCGA-06-0195-01,0.778939188,13.21049449
TCGA-06-0197-01,3.949867985,12.16198051
TCGA-06-0201-01,8.551220053,-5.367230376
TCGA-06-0206-01,4.795941801,12.27233554
TCGA-06-0208-01,1.648073771,11.9682141
TCGA-06-0210-01,-4.893106491,5.808973521
TCGA-06-0211-01,-3.075665419,7.655810228
TCGA-06-0213-01,8.434222828,-5.593299647
TCGA-06-0214-01,-4.276419413,7.126101293
TCGA-06-0216-01,-0.120899028,4.391417438
TCGA-06-0219-01,4.426063031,7.582399884
TCGA-06-0221-01,1.552967623,13.33939312
TCGA-06-0237-01,1.593244102,11.68026671
TCGA-06-0238-01,5.790397473,4.16964055
TCGA-06-0394-01,-6.717719808,11.23801832
TCGA-06-0397-01,5.666900729,14.66609115
TCGA-06-0402-01,-4.710351541,13.23122713
TCGA-06-0409-01,-6.694068032,7.337627359
TCGA-06-0410-01,-1.935947952,15.87275186
TCGA-06-0412-01,-3.930695359,5.104109979
TCGA-06-0413-01,8.515648699,6.63960071
TCGA-06-0414-01,-0.913198986,16.14171345
TCGA-06-0645-01,-6.775856931,7.618561902
TCGA-06-0646-01,-0.589345001,2.627566802
TCGA-06-0648-01,6.031432769,1.223696933
TCGA-06-0649-01,-0.608792842,5.551995201
TCGA-06-0745-01,-0.010470164,4.701922036
TCGA-06-0747-01,-4.073608804,-7.410169361
TCGA-06-0749-01,-1.067915161,5.641546122
TCGA-06-0750-01,-0.164568624,1.482171757
TCGA-06-1086-01,12.44729646,2.657505161
TCGA-06-1087-01,8.528471615,2.376858011
TCGA-06-1800-01,-0.581037484,0.798872763
